iter	Passed	Remaining
1620	38708	9050
1621	38730	9025
1622	38752	9001
1623	38770	8976
1624	38789	8951
1625	38808	8926
1626	38830	8902
1627	38851	8877
1628	38871	8852
1629	38891	8828
1630	38912	8803
1631	38932	8778
1632	38955	8754
1633	38975	8730
1634	38995	8705
1635	39015	8680
1636	39038	8656
1637	39059	8632
1638	39079	8607
1639	39100	8582
1640	39120	8558
1641	39141	8533
1642	39161	8509
1643	39181	8484
1644	39201	8459
1645	39221	8435
1646	39241	8410
1647	39261	8385
1648	39281	8361
1649	39301	8336
1650	39321	8312
1651	39344	8287
1652	39364	8263
1653	39384	8238
1654	39405	8214
1655	39425	8189
1656	39446	8165
1657	39467	8141
1658	39492	8117
1659	39512	8092
